-0.48994,0.45258,-0.5621,0.42635,0.5385,0.24351,0.28461,0.28115,-0.6372,-0.4167,-0.033071,0.87623,0.54424,-0.39114,-0.21671,0.23006
-0.016668,-0.12224,0.080194,-0.13498,0.10402,0.014674,0.1194,0.30238,0.36388,-0.0211,0.0089521,1.4744,-0.23765,-0.2991,0.042971,-0.19849
0.0027787,-0.016282,-0.0018282,-0.010352,-0.0080618,0.0050348,0.011226,-0.13604,-0.012611,-0.0029378,-0.051317,-0.031502,-0.035911,0.0086826,0.0017889,-0.033741
-0.0035001,-0.1611,0.06924,-0.12292,-0.0010214,0.0091167,0.14333,0.16802,-0.17234,0.036635,-0.050741,0.054881,-1.0802,0.21032,-0.032708,-0.24239
-0.065282,0.20245,0.088787,0.12875,-0.0033113,-0.079218,-0.042759,-0.39578,0.10226,-0.077868,0.2927,0.81108,0.82954,-0.052503,0.080501,0.038998
0.00031134,0.020768,-0.0010062,0.013287,0.00025883,-0.009145,-0.011968,0.3275,0.021244,0.0025159,0.1057,-0.085056,-0.1188,-0.023318,-0.0011794,0.018716
-0.031922,-0.34699,-0.061699,-0.16207,0.025245,0.011874,0.14708,0.16619,1.0979,-0.10062,0.16064,0.48828,0.61257,-0.11717,0.16798,-0.44824
-0.00083847,-0.043894,0.049135,-0.034401,0.039609,0.013534,0.021894,0.13918,-0.35259,-0.01892,-0.020904,0.43504,-0.24456,0.36635,0.018425,-0.069901
0.0019505,0.007874,0.021884,-0.0045334,0.00098692,-0.022228,0.012128,-1.319,-0.11406,0.034448,0.20523,0.016696,2.5428,0.12779,-0.029552,1.2051
0.0025286,-0.017439,0.0041232,-0.0098058,-0.0091847,0.0047512,0.014652,-0.12736,-0.092842,-0.018265,-0.077941,0.11571,-0.07512,0.092004,0.016075,-0.028462
